API Manager                   ,APIM
App Manager                   ,AppM
Application Server            ,AS
Business Activity Monitor     ,BAM
Business Process Server       ,BPS
Business Rules Server         ,BRS
Complex Event Processor       ,CEP
Cloud Gateway                 ,CG
Data Analytics Server         ,DAS
Data Services Server          ,DSS
Enterprise Integrator         ,EI
Enterprise Mobility Management,EMM
Enterprise Store              ,ES
Enterprise Service Bus        ,ESB
Governance Registry           ,GREG
Identity Server               ,IS
Message Broker                ,MB
Machine Learner               ,ML
Micro Services Server         ,MSS
Platform as a Service         ,PAAS
Private PAAS                  ,PPAAS
User Engagement Server        ,UES
administrator                 ,admin
administrative                ,admin
administration                ,admin